sar_id,customer_id,filing_date,suspicious_activity_type,amount_involved,narrative,status
SAR-0145,CUST-001019,2025-08-01,Rapid movement of funds,702736.35,"Series of transactions indicative of rapid movement of funds. Total amount: $702,736.35. Customer unable to provide satisfactory explanation.",closed
SAR-0146,CUST-004424,2025-07-19,Shell company indicators,89637.43,"Customer CUST-004424 engaged in shell company indicators. Multiple transactions totaling $89,637.43 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0147,CUST-002641,2025-05-23,Rapid movement of funds,35606.24,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $35,606.24. Enhanced due diligence initiated.",closed
SAR-0148,CUST-004713,2025-06-01,Structuring (smurfing),999576.69,"Series of transactions indicative of structuring (smurfing). Total amount: $999,576.69. Customer unable to provide satisfactory explanation.",closed
SAR-0149,CUST-000330,2025-12-29,Shell company indicators,523774.2,"Alert generated for shell company indicators. Review of account activity shows $523,774.20 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0150,CUST-001487,2025-06-02,Inconsistent with customer profile,638436.87,"Alert generated for inconsistent with customer profile. Review of account activity shows $638,436.87 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0151,CUST-003851,2025-10-01,Inconsistent with customer profile,339975.31,"Customer CUST-003851 engaged in inconsistent with customer profile. Multiple transactions totaling $339,975.31 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0152,CUST-002702,2025-08-30,Shell company indicators,295335.62,"Alert generated for shell company indicators. Review of account activity shows $295,335.62 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0153,CUST-000301,2025-08-08,Unusual wire transfer pattern,321371.99,"Series of transactions indicative of unusual wire transfer pattern. Total amount: $321,371.99. Customer unable to provide satisfactory explanation.",filed
SAR-0154,CUST-003312,2025-07-08,Structuring (smurfing),661083.78,"Alert generated for structuring (smurfing). Review of account activity shows $661,083.78 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0155,CUST-000445,2025-12-22,Trade-based money laundering,368161.57,"Alert generated for trade-based money laundering. Review of account activity shows $368,161.57 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0156,CUST-003622,2026-03-02,Round dollar amounts,274385.68,"Suspicious activity detected: Round dollar amounts. Investigation revealed transactions totaling $274,385.68. Enhanced due diligence initiated.",under_review
SAR-0157,CUST-003590,2025-04-05,Shell company indicators,130211.82,"Suspicious activity detected: Shell company indicators. Investigation revealed transactions totaling $130,211.82. Enhanced due diligence initiated.",closed
SAR-0158,CUST-001298,2025-10-20,Trade-based money laundering,23537.72,"Alert generated for trade-based money laundering. Review of account activity shows $23,537.72 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0159,CUST-001841,2026-01-29,Shell company indicators,947590.13,"Suspicious activity detected: Shell company indicators. Investigation revealed transactions totaling $947,590.13. Enhanced due diligence initiated.",under_review
SAR-0160,CUST-002391,2025-07-11,Rapid movement of funds,421335.44,"Alert generated for rapid movement of funds. Review of account activity shows $421,335.44 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0161,CUST-001997,2025-08-07,Trade-based money laundering,153195.55,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $153,195.55. Enhanced due diligence initiated.",closed
SAR-0162,CUST-004164,2026-01-18,Unusual wire transfer pattern,283484.93,"Alert generated for unusual wire transfer pattern. Review of account activity shows $283,484.93 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0163,CUST-004160,2025-11-12,Structuring (smurfing),290010.59,"Series of transactions indicative of structuring (smurfing). Total amount: $290,010.59. Customer unable to provide satisfactory explanation.",closed
SAR-0164,CUST-004751,2025-04-25,Shell company indicators,866607.99,"Alert generated for shell company indicators. Review of account activity shows $866,607.99 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0165,CUST-003968,2025-10-03,High-risk jurisdiction transfer,556398.24,"Alert generated for high-risk jurisdiction transfer. Review of account activity shows $556,398.24 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0166,CUST-002637,2025-12-22,Round dollar amounts,576079.67,"Suspicious activity detected: Round dollar amounts. Investigation revealed transactions totaling $576,079.67. Enhanced due diligence initiated.",under_review
SAR-0167,CUST-000358,2025-10-17,Shell company indicators,708175.6,"Alert generated for shell company indicators. Review of account activity shows $708,175.60 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0168,CUST-001247,2025-07-18,Structuring (smurfing),134983.81,"Series of transactions indicative of structuring (smurfing). Total amount: $134,983.81. Customer unable to provide satisfactory explanation.",filed
SAR-0169,CUST-003607,2026-02-05,Trade-based money laundering,911337.26,"Customer CUST-003607 engaged in trade-based money laundering. Multiple transactions totaling $911,337.26 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0170,CUST-001181,2025-08-31,Large cash deposits,84079.97,"Series of transactions indicative of large cash deposits. Total amount: $84,079.97. Customer unable to provide satisfactory explanation.",under_review
SAR-0171,CUST-003257,2025-04-30,Unusual wire transfer pattern,853247.64,"Alert generated for unusual wire transfer pattern. Review of account activity shows $853,247.64 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0172,CUST-003998,2025-06-24,Structuring (smurfing),621284.87,"Suspicious activity detected: Structuring (smurfing). Investigation revealed transactions totaling $621,284.87. Enhanced due diligence initiated.",closed
SAR-0173,CUST-002355,2025-12-02,Unusual wire transfer pattern,439631.76,"Customer CUST-002355 engaged in unusual wire transfer pattern. Multiple transactions totaling $439,631.76 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0174,CUST-000824,2025-08-13,Large cash deposits,697061.15,"Customer CUST-000824 engaged in large cash deposits. Multiple transactions totaling $697,061.15 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0175,CUST-002658,2026-02-28,Rapid movement of funds,364878.71,"Alert generated for rapid movement of funds. Review of account activity shows $364,878.71 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0176,CUST-002001,2025-06-30,Inconsistent with customer profile,570268.78,"Suspicious activity detected: Inconsistent with customer profile. Investigation revealed transactions totaling $570,268.78. Enhanced due diligence initiated.",filed
SAR-0177,CUST-001435,2026-02-16,Currency exchange patterns,872131.2,"Suspicious activity detected: Currency exchange patterns. Investigation revealed transactions totaling $872,131.20. Enhanced due diligence initiated.",under_review
SAR-0178,CUST-004778,2026-01-14,Round dollar amounts,466538.41,"Series of transactions indicative of round dollar amounts. Total amount: $466,538.41. Customer unable to provide satisfactory explanation.",under_review
SAR-0179,CUST-002092,2025-04-21,Structuring (smurfing),899919.45,"Alert generated for structuring (smurfing). Review of account activity shows $899,919.45 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0180,CUST-004478,2026-01-07,Unusual wire transfer pattern,447312.49,"Series of transactions indicative of unusual wire transfer pattern. Total amount: $447,312.49. Customer unable to provide satisfactory explanation.",closed
SAR-0181,CUST-002451,2025-05-05,Inconsistent with customer profile,693410.38,"Alert generated for inconsistent with customer profile. Review of account activity shows $693,410.38 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0182,CUST-001632,2025-09-13,Shell company indicators,115586.73,"Alert generated for shell company indicators. Review of account activity shows $115,586.73 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0183,CUST-002941,2025-06-07,Rapid movement of funds,992765.12,"Series of transactions indicative of rapid movement of funds. Total amount: $992,765.12. Customer unable to provide satisfactory explanation.",filed
SAR-0184,CUST-003243,2025-11-08,Structuring (smurfing),570269.73,"Customer CUST-003243 engaged in structuring (smurfing). Multiple transactions totaling $570,269.73 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0185,CUST-004070,2025-11-02,Round dollar amounts,610994.35,"Series of transactions indicative of round dollar amounts. Total amount: $610,994.35. Customer unable to provide satisfactory explanation.",filed
SAR-0186,CUST-001558,2025-05-15,Rapid movement of funds,680986.81,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $680,986.81. Enhanced due diligence initiated.",closed
SAR-0187,CUST-000796,2025-05-11,Structuring (smurfing),315843.56,"Alert generated for structuring (smurfing). Review of account activity shows $315,843.56 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0188,CUST-004748,2025-09-23,Large cash deposits,99232.04,"Series of transactions indicative of large cash deposits. Total amount: $99,232.04. Customer unable to provide satisfactory explanation.",under_review
SAR-0189,CUST-003404,2025-12-29,Round dollar amounts,140838.2,"Series of transactions indicative of round dollar amounts. Total amount: $140,838.20. Customer unable to provide satisfactory explanation.",closed
SAR-0190,CUST-004111,2025-11-09,Large cash deposits,264400.38,"Alert generated for large cash deposits. Review of account activity shows $264,400.38 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0191,CUST-002775,2026-01-29,Shell company indicators,963264.36,"Suspicious activity detected: Shell company indicators. Investigation revealed transactions totaling $963,264.36. Enhanced due diligence initiated.",filed
SAR-0192,CUST-003256,2025-06-16,High-risk jurisdiction transfer,99399.85,"Alert generated for high-risk jurisdiction transfer. Review of account activity shows $99,399.85 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0193,CUST-002167,2025-06-27,Unusual wire transfer pattern,460238.17,"Series of transactions indicative of unusual wire transfer pattern. Total amount: $460,238.17. Customer unable to provide satisfactory explanation.",closed
SAR-0194,CUST-003122,2025-05-06,High-risk jurisdiction transfer,117262.64,"Suspicious activity detected: High-risk jurisdiction transfer. Investigation revealed transactions totaling $117,262.64. Enhanced due diligence initiated.",under_review
SAR-0195,CUST-000206,2025-05-15,Trade-based money laundering,334726.22,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $334,726.22. Enhanced due diligence initiated.",closed
SAR-0196,CUST-000518,2025-05-07,Shell company indicators,910293.76,"Series of transactions indicative of shell company indicators. Total amount: $910,293.76. Customer unable to provide satisfactory explanation.",closed
SAR-0197,CUST-003345,2026-01-28,Large cash deposits,54893.34,"Customer CUST-003345 engaged in large cash deposits. Multiple transactions totaling $54,893.34 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0198,CUST-004036,2026-01-28,Unusual wire transfer pattern,242452.03,"Suspicious activity detected: Unusual wire transfer pattern. Investigation revealed transactions totaling $242,452.03. Enhanced due diligence initiated.",under_review
SAR-0199,CUST-003717,2025-09-20,Trade-based money laundering,424935.49,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $424,935.49. Enhanced due diligence initiated.",under_review
SAR-0200,CUST-000812,2025-07-21,Currency exchange patterns,414034.73,"Series of transactions indicative of currency exchange patterns. Total amount: $414,034.73. Customer unable to provide satisfactory explanation.",filed
SAR-0201,CUST-003036,2025-12-07,Shell company indicators,450248.9,"Suspicious activity detected: Shell company indicators. Investigation revealed transactions totaling $450,248.90. Enhanced due diligence initiated.",under_review
SAR-0202,CUST-000814,2025-04-11,High-risk jurisdiction transfer,549021.2,"Series of transactions indicative of high-risk jurisdiction transfer. Total amount: $549,021.20. Customer unable to provide satisfactory explanation.",filed
SAR-0203,CUST-003262,2025-11-07,Round dollar amounts,968524.81,"Alert generated for round dollar amounts. Review of account activity shows $968,524.81 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0204,CUST-001738,2025-05-04,Currency exchange patterns,971382.38,"Customer CUST-001738 engaged in currency exchange patterns. Multiple transactions totaling $971,382.38 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0205,CUST-001996,2026-01-23,Currency exchange patterns,213153.52,"Suspicious activity detected: Currency exchange patterns. Investigation revealed transactions totaling $213,153.52. Enhanced due diligence initiated.",closed
SAR-0206,CUST-001770,2025-11-29,High-risk jurisdiction transfer,776624.89,"Customer CUST-001770 engaged in high-risk jurisdiction transfer. Multiple transactions totaling $776,624.89 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0207,CUST-001186,2026-01-21,Trade-based money laundering,258147.65,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $258,147.65. Enhanced due diligence initiated.",filed
SAR-0208,CUST-000212,2026-01-20,Structuring (smurfing),364659.86,"Suspicious activity detected: Structuring (smurfing). Investigation revealed transactions totaling $364,659.86. Enhanced due diligence initiated.",closed
SAR-0209,CUST-002653,2026-03-20,Large cash deposits,272713.83,"Suspicious activity detected: Large cash deposits. Investigation revealed transactions totaling $272,713.83. Enhanced due diligence initiated.",closed
SAR-0210,CUST-003449,2025-07-02,Unusual wire transfer pattern,748208.62,"Alert generated for unusual wire transfer pattern. Review of account activity shows $748,208.62 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0211,CUST-002966,2025-07-09,Currency exchange patterns,117963.47,"Suspicious activity detected: Currency exchange patterns. Investigation revealed transactions totaling $117,963.47. Enhanced due diligence initiated.",closed
SAR-0212,CUST-000356,2025-04-25,Trade-based money laundering,308614.03,"Customer CUST-000356 engaged in trade-based money laundering. Multiple transactions totaling $308,614.03 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0213,CUST-003924,2025-09-04,Inconsistent with customer profile,689236.52,"Alert generated for inconsistent with customer profile. Review of account activity shows $689,236.52 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0214,CUST-003634,2026-02-19,Unusual wire transfer pattern,328890.7,"Suspicious activity detected: Unusual wire transfer pattern. Investigation revealed transactions totaling $328,890.70. Enhanced due diligence initiated.",filed
SAR-0215,CUST-001034,2025-11-08,Currency exchange patterns,636745.96,"Series of transactions indicative of currency exchange patterns. Total amount: $636,745.96. Customer unable to provide satisfactory explanation.",under_review
SAR-0216,CUST-004894,2025-06-30,Rapid movement of funds,459178.26,"Alert generated for rapid movement of funds. Review of account activity shows $459,178.26 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0217,CUST-000938,2025-04-27,Trade-based money laundering,723631.52,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $723,631.52. Enhanced due diligence initiated.",under_review
SAR-0218,CUST-003700,2025-12-02,Inconsistent with customer profile,345542.3,"Alert generated for inconsistent with customer profile. Review of account activity shows $345,542.30 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0219,CUST-003408,2026-02-08,High-risk jurisdiction transfer,432496.37,"Series of transactions indicative of high-risk jurisdiction transfer. Total amount: $432,496.37. Customer unable to provide satisfactory explanation.",under_review
SAR-0220,CUST-001251,2025-04-11,Shell company indicators,76461.98,"Customer CUST-001251 engaged in shell company indicators. Multiple transactions totaling $76,461.98 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0221,CUST-003538,2026-02-07,High-risk jurisdiction transfer,813651.59,"Customer CUST-003538 engaged in high-risk jurisdiction transfer. Multiple transactions totaling $813,651.59 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0222,CUST-004601,2025-06-14,High-risk jurisdiction transfer,673313.13,"Alert generated for high-risk jurisdiction transfer. Review of account activity shows $673,313.13 in questionable transfers. SAR filed per BSA requirements.",under_review
SAR-0223,CUST-003465,2026-03-02,Rapid movement of funds,604405.99,"Series of transactions indicative of rapid movement of funds. Total amount: $604,405.99. Customer unable to provide satisfactory explanation.",filed
SAR-0224,CUST-004735,2025-07-12,Round dollar amounts,163182.87,"Alert generated for round dollar amounts. Review of account activity shows $163,182.87 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0225,CUST-000887,2025-09-30,Trade-based money laundering,373885.44,"Series of transactions indicative of trade-based money laundering. Total amount: $373,885.44. Customer unable to provide satisfactory explanation.",closed
SAR-0226,CUST-001853,2025-08-21,Trade-based money laundering,974801.14,"Customer CUST-001853 engaged in trade-based money laundering. Multiple transactions totaling $974,801.14 observed over 30-day period. Pattern inconsistent with known business activity.",closed
SAR-0227,CUST-002191,2026-03-14,Large cash deposits,280537.68,"Series of transactions indicative of large cash deposits. Total amount: $280,537.68. Customer unable to provide satisfactory explanation.",under_review
SAR-0228,CUST-002876,2026-03-25,Large cash deposits,871164.08,"Alert generated for large cash deposits. Review of account activity shows $871,164.08 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0229,CUST-001163,2025-05-08,Structuring (smurfing),100840.11,"Suspicious activity detected: Structuring (smurfing). Investigation revealed transactions totaling $100,840.11. Enhanced due diligence initiated.",under_review
SAR-0230,CUST-003440,2025-08-08,High-risk jurisdiction transfer,165835.18,"Series of transactions indicative of high-risk jurisdiction transfer. Total amount: $165,835.18. Customer unable to provide satisfactory explanation.",closed
SAR-0231,CUST-002658,2025-06-11,Currency exchange patterns,94107.47,"Customer CUST-002658 engaged in currency exchange patterns. Multiple transactions totaling $94,107.47 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0232,CUST-001290,2025-05-16,Structuring (smurfing),677229.02,"Series of transactions indicative of structuring (smurfing). Total amount: $677,229.02. Customer unable to provide satisfactory explanation.",under_review
SAR-0233,CUST-003474,2025-07-23,Currency exchange patterns,447623.74,"Series of transactions indicative of currency exchange patterns. Total amount: $447,623.74. Customer unable to provide satisfactory explanation.",filed
SAR-0234,CUST-004198,2026-01-29,High-risk jurisdiction transfer,435614.5,"Series of transactions indicative of high-risk jurisdiction transfer. Total amount: $435,614.50. Customer unable to provide satisfactory explanation.",closed
SAR-0235,CUST-004859,2025-07-22,Trade-based money laundering,670461.23,"Customer CUST-004859 engaged in trade-based money laundering. Multiple transactions totaling $670,461.23 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0236,CUST-003238,2025-05-26,Structuring (smurfing),17610.22,"Series of transactions indicative of structuring (smurfing). Total amount: $17,610.22. Customer unable to provide satisfactory explanation.",filed
SAR-0237,CUST-001125,2025-11-18,Rapid movement of funds,334841.13,"Customer CUST-001125 engaged in rapid movement of funds. Multiple transactions totaling $334,841.13 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0238,CUST-003528,2025-12-29,Large cash deposits,386405.37,"Suspicious activity detected: Large cash deposits. Investigation revealed transactions totaling $386,405.37. Enhanced due diligence initiated.",closed
SAR-0239,CUST-004578,2025-04-20,High-risk jurisdiction transfer,81354.74,"Customer CUST-004578 engaged in high-risk jurisdiction transfer. Multiple transactions totaling $81,354.74 observed over 30-day period. Pattern inconsistent with known business activity.",under_review
SAR-0240,CUST-000154,2025-08-05,Unusual wire transfer pattern,863488.91,"Alert generated for unusual wire transfer pattern. Review of account activity shows $863,488.91 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0241,CUST-003314,2025-03-30,Inconsistent with customer profile,296620.05,"Alert generated for inconsistent with customer profile. Review of account activity shows $296,620.05 in questionable transfers. SAR filed per BSA requirements.",filed
SAR-0242,CUST-002661,2025-12-31,Currency exchange patterns,465495.93,"Series of transactions indicative of currency exchange patterns. Total amount: $465,495.93. Customer unable to provide satisfactory explanation.",filed
SAR-0243,CUST-003578,2026-02-02,Round dollar amounts,441319.76,"Alert generated for round dollar amounts. Review of account activity shows $441,319.76 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0244,CUST-000645,2025-09-07,Rapid movement of funds,748346.78,"Suspicious activity detected: Rapid movement of funds. Investigation revealed transactions totaling $748,346.78. Enhanced due diligence initiated.",under_review
SAR-0245,CUST-001378,2026-02-17,Trade-based money laundering,636892.42,"Suspicious activity detected: Trade-based money laundering. Investigation revealed transactions totaling $636,892.42. Enhanced due diligence initiated.",under_review
SAR-0246,CUST-002877,2025-05-02,Large cash deposits,243906.16,"Suspicious activity detected: Large cash deposits. Investigation revealed transactions totaling $243,906.16. Enhanced due diligence initiated.",under_review
SAR-0247,CUST-001617,2025-12-30,Currency exchange patterns,161341.09,"Customer CUST-001617 engaged in currency exchange patterns. Multiple transactions totaling $161,341.09 observed over 30-day period. Pattern inconsistent with known business activity.",filed
SAR-0248,CUST-004048,2025-08-03,Currency exchange patterns,762278.38,"Alert generated for currency exchange patterns. Review of account activity shows $762,278.38 in questionable transfers. SAR filed per BSA requirements.",closed
SAR-0249,CUST-004625,2025-05-03,Currency exchange patterns,329976.16,"Series of transactions indicative of currency exchange patterns. Total amount: $329,976.16. Customer unable to provide satisfactory explanation.",filed
SAR-0250,CUST-003603,2026-02-22,Shell company indicators,447785.98,"Series of transactions indicative of shell company indicators. Total amount: $447,785.98. Customer unable to provide satisfactory explanation.",under_review
